id;street_address;postal_code;city;state_province
1;greatly as eventually;yawningly;New Davonport;finally
2;than;pride meh;Schummburgh;notwithstanding
3;although;link what;East Mohammad;uh-huh fooey
4;huzzah gosh simplicity;anticipate;Garrettborough;responsible
5;naturally riddle;midst whether mechanically;New Devante;uselessly at
6;meanwhile snappy;phooey because duh;North Hipolitoboro;goose hm brr
7;yuck;majestically smudge not;West Enricochester;closely gee
8;wetly although ha;elliptical likewise;Lake Verdie;galumph or familiar
9;burial;head;Lake Vanceport;kneel meh fussy
10;brr;attractive beneath;New Sarahtown;milk while
